file	ploidy	quality_manual	coverage	spikiness	evenness.mean	evenness.med	end	background	reads.per.mb.bpr	coverage.bpr	gene
blm-2-100uv-f01-r1-c2_S2_.processed.bam	2	G	0.023550039	0.116345436	0.210274054	0.19837478	se	0.030386143	320	2.1	BLM
blm-2-100uv-f01-r1-c3_S3_.processed.bam	2	G	0.027232773	0.102074837	0.204329837	0.191894174	se	0.03655476	352	2.37	BLM
blm-2-100uv-f01-r1-c4_S4_.processed.bam	2	G	0.026616346	0.102964482	0.209933055	0.199766415	se	0.028021817	358	2.37	BLM
blm-2-100uv-f01-r1-c5_S5_.processed.bam	2	G	0.026272087	0.105281764	0.212489898	0.198948012	se	0.034066835	345	2.29	BLM
blm-2-100uv-f01-r1-c6_S6_.processed.bam	2	G	0.032017427	0.097236038	0.204483518	0.192582226	se	0.036528089	420	2.81	BLM
blm-2-100uv-f01-r2-c2_S9_.processed.bam	2	G	0.014310509	0.12586352	0.209936016	0.202812178	se	0.020523219	177	1.23	BLM
blm-2-100uv-f01-r2-c3_S10_.processed.bam	2	G	0.022071729	0.109147887	0.211717516	0.200739627	se	0.026124819	293	1.95	BLM
blm-2-100uv-f01-r2-c6_S13_.processed.bam	2	G	0.023200246	0.112635611	0.207454838	0.20455013	se	0.02677296	302	2.06	BLM
blm-2-100uv-f01-r3-c2_S16_.processed.bam	2	G	0.020901138	0.108666886	0.205560472	0.196025512	se	0.033645957	282	1.87	BLM
blm-2-100uv-f01-r3-c4_S18_.processed.bam	2	G	0.010194425	0.139344802	0.242622302	0.228219471	se	0.022901887	142	0.92	BLM
blm-2-100uv-f01-r3-c5_S19_.processed.bam	2	G	0.023129469	0.107997104	0.207208246	0.197457925	se	0.021001415	304	2.04	BLM
blm-2-100uv-f01-r3-c6_S20_.processed.bam	2	G	0.021064687	0.134976301	0.224939949	0.211572971	se	0.03102211	285	1.85	BLM
blm-2-100uv-f01-r4-c4_S25_.processed.bam	2	G	0.021798475	0.109178353	0.232311134	0.216805537	se	0.02011884	295	1.91	BLM
blm-2-100uv-f01-r4-c5_S26_.processed.bam	2	G	0.015133786	0.123871068	0.205008747	0.204222117	se	0.046799193	196	1.37	BLM
blm-2-100uv-f01-r5-c1_S29_.processed.bam	2	G	0.019647446	0.112418507	0.222628755	0.203038846	se	0.029323429	268	1.75	BLM
blm-2-100uv-f01-r5-c3_S31_.processed.bam	2	G	0.019512174	0.116610993	0.21592207	0.206160731	se	0.037241203	259	1.72	BLM
blm-2-100uv-f01-r5-c5_S33_.processed.bam	2	G	0.021929626	0.109421619	0.224064984	0.211076007	se	0.040931253	297	1.95	BLM
blm-2-100uv-f01-r6-c2_S37_.processed.bam	2	G	0.018508667	0.110689785	0.213911258	0.20247229	se	0.037644543	263	1.7	BLM
blm-2-100uv-f01-r6-c4_S39_.processed.bam	2	G	0.011624425	0.1323861	0.211853238	0.204646553	se	0.035966055	168	1.09	BLM
blm-2-100uv-f01-r6-c5_S40_.processed.bam	2	G	0.013791077	0.125228876	0.229771701	0.216331901	se	0.031689914	203	1.29	BLM
blm-2-200uv-f02-r1-c2_S51_.processed.bam	2	G	0.014500272	0.124036988	0.204364158	0.200886736	se	0.020758842	193	1.34	BLM
blm-2-200uv-f02-r1-c3_S52_.processed.bam	2	G	0.015741671	0.11620568	0.203157915	0.195282036	se	0.015934129	211	1.44	BLM
blm-2-200uv-f02-r1-c4_S53_.processed.bam	2	G	0.018248916	0.112279261	0.203084751	0.195196293	se	0.025763071	245	1.67	BLM
blm-2-200uv-f02-r1-c5_S54_.processed.bam	2	G	0.017370418	0.116711927	0.203421381	0.19630851	se	0.012056904	228	1.57	BLM
blm-2-200uv-f02-r2-c3_S59_.processed.bam	2	G	0.017315828	0.11532137	0.208126768	0.198986016	se	0.013982689	231	1.58	BLM
blm-2-200uv-f02-r2-c6_S62_.processed.bam	2	G	0.020680176	0.108057807	0.2094438	0.198319592	se	0.018908072	278	1.88	BLM
blm-2-200uv-f02-r3-c2_S65_.processed.bam	2	G	0.015938083	0.118003806	0.209523545	0.201783957	se	0.019975138	215	1.46	BLM
blm-2-200uv-f02-r3-c4_S67_.processed.bam	2	G	0.011145911	0.128945474	0.206112918	0.199765947	se	0.014404594	148	1.02	BLM
blm-2-200uv-f02-r3-c5_S68_.processed.bam	2	G	0.016337176	0.117044198	0.204314198	0.196218242	se	0.014347103	217	1.5	BLM
