file	ploidy	quality_manual	coverage	spikiness	evenness.mean	evenness.med	paired.end	background	reads.per.mb.bpr	coverage.bpr	gene
blm_recq5-1-single-c14-w19_.trimmed.mdup.bam	1	G	0.00696064	0.213518327	0.227200085	0.226974239	pe	0.021958357	38	0.3	BLM/RECQL5
blm_recq5-1-single-c14-w22_.trimmed.mdup.bam	1	G	0.006030285	0.262877202	0.236536586	0.234799744	pe	0.01804753	35	0.26	BLM/RECQL5
blm_recq5-1-single-c14-w8_.trimmed.mdup.bam	1	G	0.005676356	0.236132425	0.235558582	0.235394627	pe	0.029458728	33	0.25	BLM/RECQL5
blm_recq5-2-single-c15-w1_.trimmed.mdup.bam	1	G	0.027702293	0.20043541	0.231173714	0.229667841	pe	0.016953878	121	0.89	BLM/RECQL5
blm_recq5-2-single-c15-w14_.trimmed.mdup.bam	1	G	0.019473111	0.203019949	0.231550419	0.23150478	pe	0.039643742	70	0.54	BLM/RECQL5
blm_recq5-2-single-c15-w15_.trimmed.mdup.bam	1	G	0.007540631	0.237582527	0.230064352	0.229463522	pe	0.028750297	31	0.23	BLM/RECQL5
blm_recq5-2-single-c15-w2_.trimmed.mdup.bam	1	G	0.039427154	0.212288529	0.230216523	0.222095382	pe	0.01530975	171	1.2	BLM/RECQL5
blm_recq5-2-single-c15-w21_.trimmed.mdup.bam	1	G	0.011502189	0.208621876	0.228145895	0.227982662	pe	0.02171142	46	0.35	BLM/RECQL5
blm_recq5-2-single-c15-w24_.trimmed.mdup.bam	1	G	0.010975173	0.266784911	0.230061475	0.229735369	pe	0.029108639	45	0.33	BLM/RECQL5
blm_recq5-2-single-c15-w25_.trimmed.mdup.bam	1	G	0.015268136	0.249982626	0.2392112	0.236829806	pe	0.119146344	52	0.42	BLM/RECQL5
blm_recq5-2-single-c15-w27_.trimmed.mdup.bam	1	G	0.010391455	0.277231064	0.237562572	0.235984002	pe	0.023916364	44	0.32	BLM/RECQL5
blm_recq5-2-single-c15-w28_.trimmed.mdup.bam	1	G	0.032352146	0.148244305	0.211405609	0.210537747	pe	0.0186496	141	1.04	BLM/RECQL5
blm_recq5-2-single-c15-w30_.trimmed.mdup.bam	1	G	0.010015012	0.275450529	0.245335899	0.2414549	pe	0.17418838	35	0.29	BLM/RECQL5
blm_recq5-2-single-c15-w32_.trimmed.mdup.bam	1	G	0.009366215	0.223997924	0.231012412	0.230883842	pe	0.021590382	39	0.29	BLM/RECQL5
blm_recq5-2-single-c15-w34_.trimmed.mdup.bam	1	G	0.013617513	0.239483501	0.240865385	0.240609419	pe	0.027256977	55	0.41	BLM/RECQL5
blm_recq5-2-single-c15-w35_.trimmed.mdup.bam	1	G	0.008052687	0.238216943	0.231431276	0.231309309	pe	0.05038081	32	0.24	BLM/RECQL5
blm_recq5-2-single-c15-w4_.trimmed.mdup.bam	1	G	0.010916098	0.214237007	0.227192922	0.22709413	pe	0.022073375	44	0.33	BLM/RECQL5
blm_recq5-2-single-c15-w42_.trimmed.mdup.bam	1	G	0.010720135	0.254885289	0.235827172	0.234624745	pe	0.02033234	45	0.33	BLM/RECQL5
blm_recq5-2-single-c15-w44_.trimmed.mdup.bam	1	G	0.025961937	0.275493133	0.250465635	0.243553672	pe	0.034933907	112	0.76	BLM/RECQL5
blm_recq5-2-single-c15-w8_.trimmed.mdup.bam	1	G	0.043409323	0.132249548	0.200648914	0.199455378	pe	0.014548744	177	1.31	BLM/RECQL5
blm_recq5-2-single-c16-w12_.trimmed.mdup.bam	1	G	0.010370358	0.214998351	0.22982597	0.229387941	pe	0.027421062	40	0.3	BLM/RECQL5
blm_recq5-2-single-c16-w14_.trimmed.mdup.bam	1	G	0.022840227	0.242707189	0.234776794	0.231169157	pe	0.131402502	80	0.64	BLM/RECQL5
blm_recq5-2-single-c16-w15_.trimmed.mdup.bam	1	G	0.024284148	0.192959289	0.211777476	0.209309049	pe	0.022279388	103	0.75	BLM/RECQL5
