Date	Library	Reads	Duplication_rate	Coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Quality_AS
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well10_S451_	5960781	0.34034	0.098770786	0.050547183	580	0.458333333	41	152	NA
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well11_S452_	9809	0.286788	0.000167399	0	1	0.666666667	45	154	NA
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well12_S453_	6281724	0.287395	0.110980338	0	632	0.928571429	40	152	NA
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well13_S454_	7186797	0.321414	0.121558807	0.03496012	738	0.410958904	40	149	NA
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well16_S457_	20886	0.485797	0.000265058	0.5	1	0.458333333	51	50	NA
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well17_S458_	547049	0.10388	0.011856792	0.063888044	72	0.47826087	41	151	NA
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well18_S459_	293374	0.509991	0.003764925	0.085635621	21	0.454545455	42	152	NA
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well19_S460_	7681025	0.336457	0.127785191	0.024199948	771	0.322580645	39	152	NA
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well20_S461_	6845173	0.295758	0.119916836	0.043889734	723	0.441558442	40	149	NA
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well23_S464_	2357900	0.363454	0.037849693	0.044454824	223	0.508474576	42	150	NA
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well24_S465_	3098463	0.176468	0.062369548	0.025926073	382	0.507246377	39	153	NA
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well25_S466_	7130265	0.083691	0.168453061	0.3	191	0.961538462	39	152	NA
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well26_S467_	3149865	0.149673	0.065161288	0.129261043	375	0.540540541	40	150	NA
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well27_S468_	2876321	0.214983	0.055517168	0.021057086	338	0.467741935	38	156	NA
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well30_S471_	2384453	0.179582	0.047844213	0.03312212	295	0.444444444	40	151	NA
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well31_S472_	75373	0.522586	0.000947747	0.364351245	5	0.576923077	44	154	NA
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well32_S473_	8908457	0.410085	0.133610749	0.047338867	798	0.456521739	39	152	NA
25-02-2020	zeid_BLM_UV300s_hoechst3_cluster14_well33_S474_	2881948	0.222755	0.055162077	0.0176151	342	0.452830189	39	154	NA
