file	coverage	spikiness	evenness.mean	evenness.med	end.x	background	reads.per.mb.bpr	coverage.bpr	end.y	gene
blm-2-100uv-f01-r1-c2_S2_.processed.bam	0.0235500389395394	0.11634543561112	0.210274053588579	0.198374780491779	se	0.0303861432628025	320	2.1	se	BLM
blm-2-100uv-f01-r1-c3_S3_.processed.bam	0.0272327728324573	0.102074837253694	0.204329837004776	0.191894174317552	se	0.0365547595887724	352	2.37	se	BLM
blm-2-100uv-f01-r1-c4_S4_.processed.bam	0.0266163461955419	0.102964481652701	0.209933055018569	0.199766414810297	se	0.0280218167420969	358	2.37	se	BLM
blm-2-100uv-f01-r1-c5_S5_.processed.bam	0.0262720873212173	0.1052817643293	0.212489898459195	0.198948011623906	se	0.0340668346396283	345	2.29	se	BLM
blm-2-100uv-f01-r1-c6_S6_.processed.bam	0.0320174265469623	0.0972360378801382	0.204483517779796	0.19258222566035	se	0.0365280890225271	420	2.81	se	BLM
blm-2-100uv-f01-r2-c2_S9_.processed.bam	0.0143105092149774	0.125863519531943	0.209936016441736	0.202812177699853	se	0.0205232193356551	177	1.23	se	BLM
blm-2-100uv-f01-r2-c3_S10_.processed.bam	0.0220717285087058	0.109147887490818	0.211717515929985	0.200739626798787	se	0.0261248185776488	293	1.95	se	BLM
blm-2-100uv-f01-r2-c6_S13_.processed.bam	0.0232002456044231	0.112635610862644	0.20745483785393	0.2045501303279	se	0.0267729601321232	302	2.06	se	BLM
blm-2-100uv-f01-r3-c2_S16_.processed.bam	0.0209011382425862	0.108666885783512	0.205560471808857	0.196025512305497	se	0.0336459567873097	282	1.87	se	BLM
blm-2-100uv-f01-r3-c4_S18_.processed.bam	0.0101944246459155	0.139344802249867	0.242622301934909	0.228219471350972	se	0.0229018874134899	142	0.92	se	BLM
blm-2-100uv-f01-r3-c5_S19_.processed.bam	0.0231294694614044	0.107997104318407	0.207208245610486	0.197457924951568	se	0.021001415428167	304	2.04	se	BLM
blm-2-100uv-f01-r3-c6_S20_.processed.bam	0.0210646868693704	0.134976301434825	0.224939948863068	0.211572971257038	se	0.0310221103888539	285	1.85	se	BLM
