library	background	reads.per.mb	coverage
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well9_S401_.trimmed.mdup.bam	0.333333333333333	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well8_S400_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well7_S399_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well6_S398_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well5_S397_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well4_S396_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well49_S441_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well48_S440_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well47_S439_.trimmed.mdup.bam	0.5	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well46_S438_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well45_S437_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well44_S436_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well43_S435_.trimmed.mdup.bam	0.277777777777778	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well42_S434_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well3_S395_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well36_S428_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well35_S427_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well2_S394_.trimmed.mdup.bam	0.166666666666667	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well29_S421_.trimmed.mdup.bam	0.363636363636364	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well28_S420_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well22_S414_.trimmed.mdup.bam	0.2	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well21_S413_.trimmed.mdup.bam	0.5	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well1_S393_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well15_S407_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_negativecontrol_cluster13_well14_S406_.trimmed.mdup.bam	0.5	0	0
zeid_WT_UV300s_hoechst3_cluster13_well41_S433_.trimmed.mdup.bam	0.321533923303835	8	0.06
zeid_WT_UV300s_hoechst3_cluster13_well40_S432_.trimmed.mdup.bam	0.166666666666667	0	0
zeid_WT_UV300s_hoechst3_cluster13_well39_S431_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_cluster13_well38_S430_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_cluster13_well37_S429_.trimmed.mdup.bam	0.0692816619796154	126	0.91
zeid_WT_UV300s_hoechst3_cluster13_well34_S426_.trimmed.mdup.bam	0.0609631788837426	44	0.32
zeid_WT_UV300s_hoechst3_cluster13_well33_S425_.trimmed.mdup.bam	0.0888480596848728	138	1
zeid_WT_UV300s_hoechst3_cluster13_well32_S424_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_cluster13_well31_S423_.trimmed.mdup.bam	0.5	0	0
zeid_WT_UV300s_hoechst3_cluster13_well30_S422_.trimmed.mdup.bam	0.315270935960591	79	0.63
zeid_WT_UV300s_hoechst3_cluster13_well27_S419_.trimmed.mdup.bam	0.0938668358325797	106	0.77
zeid_WT_UV300s_hoechst3_cluster13_well26_S418_.trimmed.mdup.bam	0.145162260700061	111	0.7
zeid_WT_UV300s_hoechst3_cluster13_well25_S417_.trimmed.mdup.bam	0.25	0	0
zeid_WT_UV300s_hoechst3_cluster13_well24_S416_.trimmed.mdup.bam	0.0675105485232067	38	0.28
zeid_WT_UV300s_hoechst3_cluster13_well23_S415_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_cluster13_well20_S412_.trimmed.mdup.bam	0.0928325429596639	206	1.5
zeid_WT_UV300s_hoechst3_cluster13_well19_S411_.trimmed.mdup.bam	0.177167053239118	163	1.32
zeid_WT_UV300s_hoechst3_cluster13_well18_S410_.trimmed.mdup.bam	0.0888254048946528	160	1.16
zeid_WT_UV300s_hoechst3_cluster13_well17_S409_.trimmed.mdup.bam	0.214285714285714	0	0
zeid_WT_UV300s_hoechst3_cluster13_well16_S408_.trimmed.mdup.bam	0.0985476450600888	92	0.68
zeid_WT_UV300s_hoechst3_cluster13_well13_S405_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_cluster13_well12_S404_.trimmed.mdup.bam	0	0	0
zeid_WT_UV300s_hoechst3_cluster13_well11_S403_.trimmed.mdup.bam	0.0998872039102644	173	1.27
zeid_WT_UV300s_hoechst3_cluster13_well10_S402_.trimmed.mdup.bam	0.0723717220799113	284	2.06
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well9_S499_.trimmed.mdup.bam	0.333333333333333	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well8_S498_.trimmed.mdup.bam	0.333333333333333	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well7_S497_.trimmed.mdup.bam	0	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well6_S496_.trimmed.mdup.bam	0.5	1	0.01
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well5_S495_.trimmed.mdup.bam	0	1	0.01
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well4_S494_.trimmed.mdup.bam	0	1	0.01
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well49_S539_.trimmed.mdup.bam	0.5	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well48_S538_.trimmed.mdup.bam	0	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well47_S537_.trimmed.mdup.bam	0.5	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well46_S536_.trimmed.mdup.bam	0.5	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well45_S535_.trimmed.mdup.bam	0	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well44_S534_.trimmed.mdup.bam	0	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well43_S533_.trimmed.mdup.bam	0.25	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well42_S532_.trimmed.mdup.bam	0.5	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well3_S493_.trimmed.mdup.bam	0	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well36_S526_.trimmed.mdup.bam	0	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well35_S525_.trimmed.mdup.bam	0.333333333333333	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well2_S492_.trimmed.mdup.bam	0	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well29_S519_.trimmed.mdup.bam	0.4	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well28_S518_.trimmed.mdup.bam	0.4	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well22_S512_.trimmed.mdup.bam	0.444444444444444	0	0
zeid_RECQ5_UV300s_hoechst3_negativecontrol_cluster15_well21_S511_.trimmed.mdup.bam	0.25	0	0
