library	background	readsPerMb	cov.bpr
blm-2-100uv-f01-r1-c2_S2_.processed.bam	0.0303861432628025	320	2.1
blm-2-100uv-f01-r1-c3_S3_.processed.bam	0.0365547595887724	352	2.37
blm-2-100uv-f01-r1-c4_S4_.processed.bam	0.0280218167420969	358	2.37
blm-2-100uv-f01-r1-c5_S5_.processed.bam	0.0340668346396283	345	2.29
blm-2-100uv-f01-r1-c6_S6_.processed.bam	0.0365280890225271	420	2.81
blm-2-100uv-f01-r2-c2_S9_.processed.bam	0.0205232193356551	177	1.23
blm-2-100uv-f01-r2-c3_S10_.processed.bam	0.0261248185776488	293	1.95
blm-2-100uv-f01-r2-c4_S11_.processed.bam	0.0634755463059313	2	0.02
blm-2-100uv-f01-r2-c5_S12_.processed.bam	0.0617103984450923	10	0.08
blm-2-100uv-f01-r2-c6_S13_.processed.bam	0.0267729601321232	302	2.06
blm-2-100uv-f01-r3-c2_S16_.processed.bam	0.0336459567873097	282	1.87
blm-2-100uv-f01-r3-c4_S18_.processed.bam	0.0229018874134899	142	0.92
blm-2-100uv-f01-r3-c5_S19_.processed.bam	0.021001415428167	304	2.04
blm-2-100uv-f01-r3-c6_S20_.processed.bam	0.0310221103888539	285	1.85
blm-2-100uv-f01-r4-c2_S23_.processed.bam	0.11787128897277	445	3.28
blm-2-100uv-f01-r4-c3_S24_.processed.bam	0.0837511606313835	9	0.07
blm-2-100uv-f01-r4-c4_S25_.processed.bam	0.0201188398216794	295	1.91
blm-2-100uv-f01-r4-c5_S26_.processed.bam	0.0467991934975742	196	1.37
blm-2-100uv-f01-r4-c6_S27_.processed.bam	0.235305998788124	14	0.12
blm-2-100uv-f01-r5-c1_S29_.processed.bam	0.0293234287087279	268	1.75
blm-2-100uv-f01-r5-c2_S30_.processed.bam	0.267291910902696	5	0.04
blm-2-100uv-f01-r5-c3_S31_.processed.bam	0.0372412032308978	259	1.72
blm-2-100uv-f01-r5-c4_S32_.processed.bam	0.0724152365006279	3	0.03
blm-2-100uv-f01-r5-c5_S33_.processed.bam	0.0409312526212778	297	1.95
blm-2-100uv-f01-r5-c6_S34_.processed.bam	0.108559498956159	2	0.02
blm-2-100uv-f01-r6-c2_S37_.processed.bam	0.0376445434589239	263	1.7
blm-2-100uv-f01-r6-c3_S38_.processed.bam	0.0725215364676926	224	1.48
blm-2-100uv-f01-r6-c4_S39_.processed.bam	0.0359660549404237	168	1.09
blm-2-100uv-f01-r6-c5_S40_.processed.bam	0.0316899138171893	203	1.29
blm-2-200uv-f02-r1-c1_S50_.processed.bam	0.0532089961601755	6	0.05
blm-2-200uv-f02-r1-c2_S51_.processed.bam	0.0207588415719103	193	1.34
blm-2-200uv-f02-r1-c3_S52_.processed.bam	0.0159341291679309	211	1.44
blm-2-200uv-f02-r1-c4_S53_.processed.bam	0.0257630709698303	245	1.67
blm-2-200uv-f02-r1-c5_S54_.processed.bam	0.0120569044072167	228	1.57
blm-2-200uv-f02-r2-c1_S57_.processed.bam	0.0760637560637561	216	1.6
blm-2-200uv-f02-r2-c2_S58_.processed.bam	0.202127659574468	7	0.1
blm-2-200uv-f02-r2-c3_S59_.processed.bam	0.0139826893394205	231	1.58
blm-2-200uv-f02-r2-c4_S60_.processed.bam	0.101888020833333	9	0.09
blm-2-200uv-f02-r2-c5_S61_.processed.bam	0.0524632016894128	246	1.68
blm-2-200uv-f02-r2-c6_S62_.processed.bam	0.0189080724556852	278	1.88
blm-2-200uv-f02-r3-c1_S64_.processed.bam	0.0489988604916165	9	0.08
blm-2-200uv-f02-r3-c2_S65_.processed.bam	0.0199751382399588	215	1.46
blm-2-200uv-f02-r3-c3_S66_.processed.bam	0.0399348003259984	7	0.06
blm-2-200uv-f02-r3-c4_S67_.processed.bam	0.0144045938975133	148	1.02
blm-2-200uv-f02-r3-c5_S68_.processed.bam	0.0143471028555586	217	1.5
blm-2-200uv-f02-r3-c6_S69_.processed.bam	0.0130423474695551	216	1.49
blm-2-200uv-f02-r4-c1_S71_.processed.bam	0.0140066037140634	175	1.21
blm-2-200uv-f02-r4-c2_S72_.processed.bam	0.0738776952986921	8	0.07
blm-2-200uv-f02-r4-c3_S73_.processed.bam	0.0201337086558761	231	1.57
blm-2-200uv-f02-r4-c4_S74_.processed.bam	0.106108312342569	9	0.07
blm-2-200uv-f02-r4-c5_S75_.processed.bam	0.0188797986154814	181	1.25
blm-2-200uv-f02-r4-c6_S76_.processed.bam	0.0155838642770167	242	1.63
blm-2-200uv-f02-r5-c1_S78_.processed.bam	0.0535791757049892	6	0.05
blm-2-200uv-f02-r5-c2_S79_.processed.bam	0.0200140944326991	209	1.43
blm-2-200uv-f02-r5-c3_S80_.processed.bam	0.0148446131618459	230	1.52
blm-2-200uv-f02-r5-c4_S81_.processed.bam	0.0190078958774349	202	1.4
blm-2-200uv-f02-r5-c5_S82_.processed.bam	0.0188324933357796	228	1.53
blm-2-200uv-f02-r5-c6_S83_.processed.bam	0.0836298932384342	9	0.07
blm-2-200uv-f02-r6-c1_S85_.processed.bam	0.0193150952440129	205	1.41
blm-2-200uv-f02-r6-c2_S86_.processed.bam	0.0195803277612283	171	1.14
blm-2-200uv-f02-r6-c3_S87_.processed.bam	0.0199591051973022	138	0.96
blm-2-200uv-f02-r6-c4_S88_.processed.bam	0.438976377952756	5	0.06
blm-2-200uv-f02-r6-c5_S89_.processed.bam	0.0197396963123644	162	1.09
