TP	FN	FP	precision	recall	gap	type
9768	40433	42814	0.185766992506942	0.194577797255035	0	filtered
10289	39912	42293	0.19567532615724	0.20495607657218	10000	filtered
13449	36752	39133	0.255771937164809	0.267903029820123	1e+05	filtered
26416	23785	26166	0.502377239359477	0.526204657277743	5e+05	filtered
34330	15871	18252	0.652885017686661	0.683850919304396	1e+06	filtered
12039	40426	95685	0.111757825554194	0.229467263890213	0	unfiltered
12616	39849	95108	0.117114106420111	0.24046507195273	10000	unfiltered
16104	36361	91620	0.149493149158962	0.306947488802059	1e+05	unfiltered
30189	22276	77535	0.280243956778434	0.57541217954827	5e+05	unfiltered
38681	13784	69043	0.359075043630017	0.737272467359192	1e+06	unfiltered
