"gene_id"	"ctrl_1"	"ctrl_2"	"ctrl_3"	"SENP1_KO_1"	"SENP1_KO_2"	"SENP1_KO_3"	"CHD3_KO_1"	"CHD3_KO_2"	"CHD3_KO_3"
"ENSG00000000003"	0.713339	0.997738	0.819615	0.3157	0.497757	0.791697	1.7299	0.998412	1.13844
"ENSG00000000005"	78.6968	107.156	101.221	47.1245	41.9594	38.5906	192.4	202.491	215.45
"ENSG00000000419"	131.003	132.846	129.706	135.198	144.252	153.21	123.355	112.391	123.839
"ENSG00000000457"	2.34691	3.12924	3.1201	2.70379	2.28253	2.82998	3.29613	3.23742	3.21741
"ENSG00000000460"	33.8474	29.08	34.275	28.358	30.0809	31.1972	32.77	31.9691	31.2032
"ENSG00000000938"	0	0.0208888	0	0	0	0	0	0	0
"ENSG00000000971"	0	0	0	0	0	0	0	0.00751567	0
"ENSG00000001036"	21.5034	23.4981	21.8746	20.8419	24.4309	23.5806	19.1815	19.5206	20.5689
"ENSG00000001084"	27.9222	26.487	29.8852	22.3411	21.3071	21.4822	31.2725	35.5112	28.2329
"ENSG00000001167"	14.9083	15.4569	16.7439	12.7832	12.8164	14.1967	15.3165	16.9917	17.1138
"ENSG00000001460"	4.75296	4.95941	4.3224	5.4113	6.00875	5.33021	5.9216	6.00597	6.13617
"ENSG00000001461"	7.98339	7.72942	8.29459	8.10688	7.03789	7.46307	8.67242	9.22743	8.04969
"ENSG00000001497"	37.7593	40.0708	39.8435	48.6425	49.0067	46.4805	40.4103	42.4471	39.7324
"ENSG00000001561"	2.93958	4.02235	3.827	3.22601	3.71054	3.34748	0.523722	0.913682	0.918735
"ENSG00000001617"	0.518259	0.184998	0.34022	0.679173	0.668596	0.406733	0.486706	0.426779	0.646159
"ENSG00000001626"	0.133632	0.211473	0.107582	0.171821	0.48541	0.414144	0.525609	0.221667	0.275144
"ENSG00000001629"	11.5113	13.1056	11.3024	11.6128	10.9444	11.7102	11.5856	12.7012	13.7035
"ENSG00000001630"	63.4371	66.0361	71.2851	65.7913	71.358	72.2744	63.9016	66.8141	74.8108
"ENSG00000001631"	26.0579	30.0563	31.8392	28.7119	31.8757	30.0535	26.2497	35.2088	30.5929
"ENSG00000002016"	5.34701	5.18848	5.12659	5.72221	5.5582	6.8445	7.55496	5.97553	6.40167
"ENSG00000002079"	0.0177652	0	0	0	0	0	0	0	0
"ENSG00000002330"	0.419217	0.479091	0.457238	1.0579	0.583427	0.426953	0.745126	0.329794	0.560941
"ENSG00000002549"	81.0434	83.163	85.6074	88.0796	94.8936	92.6689	79.396	83.5898	81.9909
"ENSG00000002586"	43.4268	36.1429	40.3557	52.1653	52.9504	49.0918	50.6949	32.202	41.939
"ENSG00000002587"	0	0	0	0	0	0	0	0	0
"ENSG00000002726"	0	0	0	0	0	0	0	0	0.044907
"ENSG00000002745"	0	0	0	0.0228986	0.0162677	0	0	0	0.0100941
"ENSG00000002746"	0	0	0	0.00343159	0	0	0	0.00308536	0
"ENSG00000002822"	0.93572	2.30999	1.38334	1.36627	2.68123	1.18262	1.06647	1.1855	1.08427
"ENSG00000002834"	23.6384	25.4748	25.6711	36.5973	35.1825	32.2771	25.7088	20.0207	24.2118
"ENSG00000002919"	17.7921	17.4269	17.8441	14.9203	15.448	16.0674	14.8948	15.7772	14.7451
"ENSG00000002933"	0	0	0.0546199	0	0	0	0	0	0
"ENSG00000003056"	87.8001	85.0434	88.9044	77.9817	89.7628	87.4974	78.4405	76.6257	85.2299
"ENSG00000003096"	27.7901	28.6829	27.1321	20.5175	21.6032	22.6628	27.2497	30.166	31.4186
"ENSG00000003137"	4.31843	3.46224	3.84487	3.49609	3.32796	3.02957	5.49739	4.07572	4.89522
"ENSG00000003147"	0.463538	1.25235	0.584605	1.99179	1.7423	0.764621	1.20889	1.38828	0.631713
"ENSG00000003249"	4.95126	4.10798	4.16849	6.61662	7.32116	5.46691	5.59388	3.33244	4.05592
"ENSG00000003393"	11.0416	10.6487	11.8486	9.23687	11.0738	10.9696	10.4531	14.1373	10.9983
"ENSG00000003400"	0.191798	0.192544	0.492135	0.219998	0.128005	0.0958718	0.13345	0.162488	0.0249666
"ENSG00000003402"	8.7739	7.86861	9.11911	7.33492	7.45279	7.19391	8.29643	8.26319	8.54161
"ENSG00000003436"	0	0	0.00536801	0.14481	0	0.035492	0	0	0
"ENSG00000003509"	15.0807	14.6293	18.8824	16.8927	17.4049	19.9265	17.6732	16.79	17.511
"ENSG00000003756"	113.127	99.5576	118.192	84.5191	91.4831	93.5502	90.5092	113.036	107.343
"ENSG00000003987"	3.44705	3.98263	3.28228	3.97981	3.95967	4.22038	3.57725	3.88066	3.49608
"ENSG00000003989"	17.7565	19.5667	19.5131	14.5872	14.1053	15.5154	14.8903	17.6929	18.2261
"ENSG00000004059"	48.9093	37.4273	44.083	58.0876	66.4454	46.2653	48.2005	40.0176	43.9408
"ENSG00000004139"	1.77599	1.06978	1.20186	1.34019	0.984121	1.18336	1.50044	1.80297	1.88201
"ENSG00000004142"	59.668	61.823	57.5867	72.301	64.6189	64.413	55.1111	50.6606	59.9624
"ENSG00000004399"	5.13854	3.93831	5.59061	8.49776	7.20908	7.50205	4.6495	3.5991	4.96906
"ENSG00000004455"	202.13	195.45	206.932	213.308	225.593	206.519	209.341	174.463	194.006
"ENSG00000004468"	0.0699369	0.162226	0.117888	0.0204281	0.0956765	0.093289	0.0611179	0.0858174	0.0631093
"ENSG00000004478"	122.308	127.518	132.498	127.04	132.116	131.967	109.247	117.632	117.411
"ENSG00000004487"	71.7017	64.2257	61.0019	63.0439	61.0452	60.0405	68.5277	67.3045	68.8959
"ENSG00000004534"	73.4155	78.9691	82.3747	70.3792	76.2825	73.5058	81.6938	100.084	74.0287
"ENSG00000004660"	0.76004	0.702495	0.784627	1.30315	1.23621	1.08354	0.82386	0.653052	0.940825
"ENSG00000004700"	59.6467	64.5178	65.3017	68.2584	73.9618	76.1433	63.1367	64.0785	59.4999
"ENSG00000004766"	19.4871	22.4025	20.5581	20.0098	19.4189	26.0431	22.8087	29.8854	20.8356
"ENSG00000004776"	0.305442	0.2156	0.197495	0.393171	0.568302	0.4496	0	0.314461	0.490585
"ENSG00000004777"	0.771651	0.677257	0.800415	1.50193	0.911363	1.076	0.611885	0.533554	0.711731
"ENSG00000004779"	122.269	85.4608	84.4518	88.0523	90.3774	85.9808	95.7401	71.4435	92.1124
"ENSG00000004799"	0.228167	0.127608	0.187517	0.0656778	0.109586	0.093763	0	0	0
"ENSG00000004809"	0	0	0	0	0	0	0	0	0
"ENSG00000004838"	0.595724	0.366838	0.772954	0.831249	0.619538	0.677297	0.606341	0.383469	0.50961
"ENSG00000004846"	0.0219239	0.0142331	0.0075872	0.0112894	0	0.0213851	0.0250621	0	0.0294438
"ENSG00000004848"	4.68067	2.30206	2.46967	2.48559	2.27497	1.68065	3.28437	2.10858	2.26276
"ENSG00000004864"	27.8479	28.5088	28.7527	27.635	28.2279	29.7444	24.3589	23.2855	27.2269
"ENSG00000004866"	17.9672	15.5339	14.5276	13.9985	15.6439	17.2821	11.035	12.7708	13.2942
"ENSG00000004897"	57.1931	62.0618	66.0056	59.3543	65.5217	60.0546	68.1752	68.7468	62.4776
"ENSG00000004939"	0.0185567	0.0110831	0.0552066	0	0	0	0.020652	0.020982	0
"ENSG00000004948"	0.0802972	0.115819	0.228278	1.0219	0.828111	0.947656	0.0412541	0.089919	0.100217
"ENSG00000004961"	46.7494	48.6519	51.3613	44.024	53.3806	49.4437	38.0079	42.4652	48.8038
"ENSG00000004975"	5.0837	7.29196	6.97196	11.033	11.4605	10.1382	9.87412	8.48734	7.26069
"ENSG00000005001"	0	0	0	0	0	0	0	0	0
"ENSG00000005007"	7.33692	9.16444	8.5233	11.0577	11.8976	8.57013	6.28236	7.56537	7.24198
"ENSG00000005020"	22.7506	25.9733	25.2326	22.9527	22.7822	28.7795	24.1515	25.1341	24.2241
"ENSG00000005022"	556.262	494.795	498.029	552.538	522.123	512.946	502.589	416.478	500.257
"ENSG00000005059"	17.137	18.3821	18.1486	15.8145	15.7566	18.9567	16.1205	14.7712	18.986
"ENSG00000005073"	4.93842	3.58807	3.87307	5.16935	5.00104	4.20697	4.24532	3.48599	4.05271
"ENSG00000005075"	69.9537	71.4551	69.7476	82.8283	87.722	80.3259	66.356	60.8814	71.1168
"ENSG00000005100"	29.3379	29.8138	28.9163	26.4068	27.0697	26.8956	27.7764	27.2451	27.3905
"ENSG00000005102"	0.0548605	0.0439054	0.0288984	0.0148974	0	0.0138584	0.123539	0.0786426	0.123871
"ENSG00000005108"	1.20754	1.75146	1.27253	1.09961	0.936647	0.879098	1.078	1.24305	0.812948
"ENSG00000005156"	18.8207	19.7919	18.3138	17.4763	15.883	18.842	21.4914	19.2042	19.9836
"ENSG00000005175"	30.6526	36.285	41.4817	27.7088	31.3646	36.7999	32.7018	38.3307	33.5381
"ENSG00000005187"	0.137434	0.0446854	0.297799	0.0550544	0.215473	0.0698351	0.0912262	0.191317	0.133062
"ENSG00000005189"	7.83853	6.3736	7.55604	6.87813	5.76801	6.75174	8.07528	7.96993	7.30484
"ENSG00000005194"	66.1426	67.9827	70.8838	63.9433	64.8352	71.7716	61.4249	68.4489	68.4286
"ENSG00000005206"	1.51799	1.64945	1.32284	3.65301	2.36531	1.99103	2.65603	0.897885	1.61783
"ENSG00000005238"	0.766141	0.774035	0.823849	1.38658	1.70612	1.72554	1.70802	1.00646	1.25878
"ENSG00000005243"	0.113109	0.134115	0.105821	0	0	0	0	0.0933219	0.0951815
"ENSG00000005249"	11.5214	12.2773	11.5568	10.1024	9.58395	11.0998	11.4602	11.4457	12.5209
"ENSG00000005302"	33.0152	34.8805	40.3215	32.1727	34.2349	31.7097	34.536	44.8597	34.4003
"ENSG00000005339"	13.7972	12.5303	14.0384	14.413	12.8007	12.6031	13.3782	13.1343	10.9208
"ENSG00000005379"	0	0	0	0	0	0	0	0	0
"ENSG00000005381"	0	0	0	0	0	0	0	0	0
"ENSG00000005421"	0.0350424	0	0.0200056	0	0	0.0283758	0.0267668	0.013709	0
"ENSG00000005436"	15.0661	17.1931	18.9335	13.1929	14.377	17.2448	15.7477	24.0254	21.141
"ENSG00000005448"	6.31265	7.29754	7.25981	8.32634	7.86745	6.88414	8.08412	8.33664	8.6997
"ENSG00000005469"	2.4624	2.77343	2.71822	3.34507	3.59835	4.5392	3.80154	3.54545	3.97794
"ENSG00000005471"	0.0663619	0.053765	0.0221918	0.117308	0.0345019	0.0731066	0.11418	0.118191	0.167781
"ENSG00000005483"	18.5718	21.2624	18.6693	14.8924	13.7412	14.6866	20.9631	25.8239	19.9305
"ENSG00000005486"	4.86397	6.81491	5.29906	7.67492	6.26477	6.71849	5.02326	4.99248	6.66721
"ENSG00000005513"	1.06638	0.727027	0.63296	0.695985	0.623502	0.666146	1.00856	0.632675	0.673632
"ENSG00000005700"	16.9613	19.6074	20.4223	16.1553	16.8854	19.3093	19.181	23.0116	23.7414
"ENSG00000005801"	22.9291	24.2597	30.5942	28.5947	26.1946	27.0282	22.9415	26.8968	25.3433
"ENSG00000005810"	18.8504	16.1128	21.0122	13.9432	16.9345	15.639	16.2875	20.5803	16.207
"ENSG00000005812"	22.5599	24.17	23.9902	17.4775	19.7939	20.668	21.6041	24.0288	27.668
"ENSG00000005844"	0.0181675	0.00912898	0	0.0379662	0.0182828	0.0183277	0	0	0
"ENSG00000005882"	4.22416	4.04539	4.0349	6.66103	5.31861	3.67598	4.43453	4.18015	4.19906
"ENSG00000005884"	0.280622	1.86449	0.602267	1.19519	3.36111	1.29192	0.566912	2.21332	0.983486
"ENSG00000005889"	20.3668	29.3178	25.8321	23.5515	23.146	24.4747	26.3645	24.0035	22.7063
"ENSG00000005893"	76.2262	82.0493	83.1058	69.7236	73.2091	81.7582	76.416	80.8574	89.6252
"ENSG00000005961"	1.13057	1.88248	1.2122	3.68141	2.13968	3.12892	1.17922	1.15284	2.48226
"ENSG00000005981"	0	0	0.0129254	0.00910757	0	0.00934714	0.00820497	0	0.00819286
"ENSG00000006007"	24.9444	30.2751	25.563	26.3849	25.647	27.5413	23.9072	28.8425	28.6128
"ENSG00000006015"	1.6256	0.877431	0.668003	1.20038	1.28203	1.51905	1.02978	0.615861	1.27033
"ENSG00000006016"	4.23909	4.91425	4.97139	5.14866	6.46538	4.98209	5.18171	2.96437	4.34829
"ENSG00000006025"	0.563893	0.883877	0.709617	1.62693	0.873317	0.921722	0.759678	0.498452	0.673664
"ENSG00000006042"	19.3515	22.6772	19.6368	33.3163	29.9452	26.8595	30.7902	23.3167	23.3295
"ENSG00000006047"	0.798094	0.642703	0.47679	1.6149	1.39122	1.27191	1.00074	0.795372	1.11439
"ENSG00000006059"	0	0	0	0	0	0	0	0	0
"ENSG00000006062"	0.238553	0.159489	0.271556	0.249139	0.411949	0.294689	0.363442	0.218868	0.226227
"ENSG00000006071"	0.113733	0.128634	0.121882	0.142738	0.0306042	0.0861461	0.315891	0.485199	0.264543
"ENSG00000006116"	0	0	0	0	0	0	0	0	0
"ENSG00000006118"	5.82175	6.25236	8.24245	8.82789	5.95656	5.37437	8.11319	6.77471	7.48475
"ENSG00000006125"	93.4972	97.2056	101.172	100.066	100.834	104.911	85.6592	101.09	90.5986
"ENSG00000006128"	0	0	0	0	0	0	0	0	0
"ENSG00000006194"	12.3593	12.3587	11.394	11.7894	12.5291	13.2062	11.6694	11.4293	11.2251
"ENSG00000006210"	0	0.0311168	0.0147309	0.074988	0.12435	0.0543496	0.0446214	0.103268	0.0497682
"ENSG00000006282"	2.70004	2.81384	2.77391	5.16121	3.81915	3.84573	3.86111	2.86347	3.92844
"ENSG00000006283"	0.0369577	0.0542162	0.0465908	0.0817696	0.226343	0.115735	0	0	0.0644815
"ENSG00000006327"	1.48581	1.55521	2.21995	5.93491	5.65716	3.17972	1.76843	0.456179	1.10592
"ENSG00000006377"	7.37314	7.82483	7.20808	7.5638	8.5009	8.32273	7.2765	5.55057	6.87175
"ENSG00000006432"	2.33274	2.2603	2.40156	2.79422	2.78239	2.66636	2.16256	1.99152	2.10346
"ENSG00000006451"	67.2411	72.7077	77.1308	65.48	69.7556	72.5915	68.8837	76.4992	81.3752
"ENSG00000006453"	7.07933	6.35531	5.73132	7.74392	8.57044	8.31663	5.30768	5.73936	5.08288
"ENSG00000006459"	2.6044	3.65291	2.81718	2.35526	2.61467	2.35351	2.94235	3.66048	3.29084
"ENSG00000006468"	1.48645	1.78351	3.01041	1.6947	2.70533	2.00162	1.1958	1.3981	1.85939
"ENSG00000006530"	38.8843	32.9871	48.3088	41.2216	31.7105	44.4261	65.1464	54.9957	44.2553
"ENSG00000006534"	0.498233	0.35963	0.7431	0.550069	0.593765	0.252711	0.728353	0.434737	0.685679
"ENSG00000006555"	0	0	0.0203901	0	0	0	0	0.0087473	0.014352
"ENSG00000006576"	26.9579	30.0198	30.273	23.5199	26.1566	29.6958	26.4557	31.3109	31.7916
"ENSG00000006606"	0	0	0	0.622988	0.222093	0.58045	0	0	0.122626
"ENSG00000006607"	21.9532	21.5824	22.2667	19.2571	18.8315	18.4427	22.0001	19.9503	19.9119
"ENSG00000006611"	0	0	0	0	0.0589942	0	0.0586048	0.0377387	0.0205296
"ENSG00000006625"	89.333	90.0249	101.314	110.167	109.733	115.864	90.8529	76.9672	83.1649
"ENSG00000006634"	26.1029	30.1662	26.564	25.9882	27.2529	26.2525	21.4664	30.4173	29.0479
"ENSG00000006638"	0.493293	0.398753	0.489105	0.832563	1.08581	0.615688	0.459987	0.310072	0.657586
"ENSG00000006652"	13.1797	15.8582	14.5296	15.8936	17.9989	17.9406	13.3926	14.8401	18.0395
"ENSG00000006659"	0	0	0	0	0	0	0	0	0
"ENSG00000006695"	11.0426	11.5982	15.6078	14.5789	18.367	15.9194	14.5561	13.4763	11.9701
"ENSG00000006704"	5.68294	7.70712	6.33309	5.85844	6.227	7.35165	5.22398	4.34667	7.29754
"ENSG00000006712"	20.1553	21.2893	23.7439	27.7806	28.5939	27.3979	21.6357	17.6834	19.3013
"ENSG00000006715"	42.9843	45.7434	46.9405	41.0334	40.7169	53.1417	38.7456	55.5777	43.8241
"ENSG00000006740"	2.04672	1.63174	1.32725	2.73862	1.86594	1.98669	2.09441	1.71439	2.21595
"ENSG00000006744"	37.0077	40.7608	38.9369	41.6092	48.3014	45.7119	33.6492	38.7177	35.117
