file	RPM
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r1-c1_S1_.trimmed.mdup.bam	132
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r1-c2_S2_.trimmed.mdup.bam	290
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r1-c3_S3_.trimmed.mdup.bam	224
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r1-c4_S4_.trimmed.mdup.bam	340
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r1-c5_S5_.trimmed.mdup.bam	243
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r1-c6_S6_.trimmed.mdup.bam	303
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r1-c7_S7_.trimmed.mdup.bam	279
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r2-c1_S8_.trimmed.mdup.bam	20
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r2-c3_S10_.trimmed.mdup.bam	294
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r2-c4_S11_.trimmed.mdup.bam	254
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r2-c5_S12_.trimmed.mdup.bam	244
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r2-c6_S13_.trimmed.mdup.bam	351
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r2-c7_S14_.trimmed.mdup.bam	267
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r3-c1_S15_.trimmed.mdup.bam	88
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r3-c2_S16_.trimmed.mdup.bam	61
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r3-c3_S17_.trimmed.mdup.bam	48
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r3-c4_S18_.trimmed.mdup.bam	132
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r3-c5_S19_.trimmed.mdup.bam	352
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r3-c6_S20_.trimmed.mdup.bam	287
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r3-c7_S21_.trimmed.mdup.bam	150
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r4-c1_S22_.trimmed.mdup.bam	124
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r4-c2_S23_.trimmed.mdup.bam	133
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r4-c3_S24_.trimmed.mdup.bam	130
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r4-c4_S25_.trimmed.mdup.bam	295
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r4-c5_S26_.trimmed.mdup.bam	231
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r4-c6_S27_.trimmed.mdup.bam	157
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r4-c7_S28_.trimmed.mdup.bam	112
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r5-c1_S29_.trimmed.mdup.bam	18
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r5-c2_S30_.trimmed.mdup.bam	105
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r5-c3_S31_.trimmed.mdup.bam	358
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r5-c4_S32_.trimmed.mdup.bam	350
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r5-c5_S33_.trimmed.mdup.bam	168
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r5-c6_S34_.trimmed.mdup.bam	79
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r5-c7_S35_.trimmed.mdup.bam	162
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r6-c1_S36_.trimmed.mdup.bam	167
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r6-c2_S37_.trimmed.mdup.bam	240
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r6-c3_S38_.trimmed.mdup.bam	300
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r6-c4_S39_.trimmed.mdup.bam	96
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r6-c5_S40_.trimmed.mdup.bam	179
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r6-c6_S41_.trimmed.mdup.bam	63
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r6-c7_S42_.trimmed.mdup.bam	224
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r7-c1_S43_.trimmed.mdup.bam	71
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r7-c2_S44_.trimmed.mdup.bam	178
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r7-c3_S45_.trimmed.mdup.bam	131
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r7-c4_S46_.trimmed.mdup.bam	286
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r7-c5_S47_.trimmed.mdup.bam	95
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f1-r7-c6_S48_.trimmed.mdup.bam	221
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r1-c1_S148_.trimmed.mdup.bam	263
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r1-c2_S149_.trimmed.mdup.bam	243
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r1-c3_S150_.trimmed.mdup.bam	225
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r1-c4_S151_.trimmed.mdup.bam	274
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r1-c5_S152_.trimmed.mdup.bam	239
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r1-c6_S153_.trimmed.mdup.bam	229
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r1-c7_S154_.trimmed.mdup.bam	209
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r2-c1_S155_.trimmed.mdup.bam	238
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r2-c2_S156_.trimmed.mdup.bam	125
April_14_2021_NextSeq_na12878-fdu-a1h5-kle-single-f5-r2-c3_S157_.trimmed.mdup.bam	294
