width	reads.per.mb.bpr	type
60656	132	diploid
113213	132	diploid
438506	132	diploid
59117	132	diploid
1651	132	diploid
49914	132	diploid
80797	132	diploid
147380	132	diploid
204	132	diploid
9809	132	diploid
4867	132	diploid
194721	132	diploid
56307	132	diploid
25782	132	diploid
6721	132	diploid
5192	132	diploid
18183	132	diploid
163152	132	diploid
246302	132	diploid
14435	132	diploid
30809	132	diploid
129357	132	diploid
1	132	diploid
12210	132	diploid
2836	132	diploid
9933	290	diploid
11623	290	diploid
81968	290	diploid
16827	290	diploid
74684	290	diploid
20878	290	diploid
137171	290	diploid
44931	290	diploid
4548	290	diploid
18024	290	diploid
7849	290	diploid
708	290	diploid
102873	290	diploid
8216	290	diploid
51680	290	diploid
4832	290	diploid
2237	290	diploid
306341	290	diploid
4206	290	diploid
17195	290	diploid
46385	290	diploid
1986	290	diploid
84796	290	diploid
14923	290	diploid
13043	290	diploid
160626	290	diploid
2269	290	diploid
2919	290	diploid
27324	290	diploid
581	290	diploid
11014	290	diploid
18681	290	diploid
808	290	diploid
12966	290	diploid
2829	290	diploid
68143	290	diploid
6184	290	diploid
4341	290	diploid
15620	290	diploid
203561	290	diploid
29556	290	diploid
3464	290	diploid
3693	290	diploid
38398	290	diploid
19203	290	diploid
10034	290	diploid
154345	290	diploid
13330	290	diploid
13446	290	diploid
13855	290	diploid
10736	290	diploid
203443	290	diploid
83678	290	diploid
5173	290	diploid
6577	290	diploid
10704	290	diploid
504	290	diploid
16460	290	diploid
16348	290	diploid
122222	290	diploid
90600	290	diploid
13350	290	diploid
5036	290	diploid
8925	290	diploid
9501	290	diploid
66226	290	diploid
10508	290	diploid
6015	224	diploid
62602	224	diploid
704	224	diploid
72636	224	diploid
10258	224	diploid
5445	224	diploid
147763	224	diploid
119227	224	diploid
12109	224	diploid
9594	224	diploid
8429	224	diploid
33420	224	diploid
87943	224	diploid
675	224	diploid
3404	224	diploid
149698	224	diploid
5871	224	diploid
8839	224	diploid
114240	224	diploid
127203	224	diploid
303808	224	diploid
44280	224	diploid
661	224	diploid
24125	224	diploid
8256	224	diploid
31506	224	diploid
67583	224	diploid
5306	224	diploid
20305	224	diploid
141700	224	diploid
12528	224	diploid
8541	340	diploid
256392	340	diploid
