width	reads.per.mb.bpr	type
65878	38	haploid
38106	38	haploid
42825	35	haploid
37486	35	haploid
15057	35	haploid
12533	33	haploid
174028	33	haploid
14447	33	haploid
83424	33	haploid
124015	33	haploid
459387	33	haploid
17876	33	haploid
41249	33	haploid
1440	33	haploid
79286	33	haploid
40895	33	haploid
100906	33	haploid
16205	33	haploid
25598	33	haploid
89276	33	haploid
10004	33	haploid
31990	33	haploid
11941	33	haploid
44589	33	haploid
41346	33	haploid
71574	33	haploid
58375	33	haploid
22480	121	haploid
223107	121	haploid
22414	121	haploid
20442	121	haploid
8588	121	haploid
49427	70	haploid
11380	70	haploid
26210	70	haploid
2103	70	haploid
52101	70	haploid
119778	31	haploid
156876	31	haploid
19858	31	haploid
5409	171	haploid
10578	171	haploid
13133	171	haploid
14612	171	haploid
6983	171	haploid
3443	171	haploid
672758	171	haploid
4741	171	haploid
13772	171	haploid
9832	171	haploid
1330348	171	haploid
19120	171	haploid
20398	171	haploid
236553	171	haploid
8876	171	haploid
15611	171	haploid
18837	171	haploid
25912	171	haploid
33135	171	haploid
5083	171	haploid
3107	171	haploid
11891	171	haploid
9797	171	haploid
434	171	haploid
8037	171	haploid
16081	171	haploid
438611	171	haploid
36341	46	haploid
9083	46	haploid
47438	46	haploid
33476	46	haploid
21947	46	haploid
37797	46	haploid
28559	46	haploid
82445	46	haploid
27626	46	haploid
113206	46	haploid
14528	46	haploid
25566	46	haploid
31309	46	haploid
75795	46	haploid
98608	46	haploid
6957	46	haploid
69445	46	haploid
14207	46	haploid
62451	46	haploid
8841	46	haploid
50237	46	haploid
41007	46	haploid
91448	46	haploid
47348	46	haploid
82819	46	haploid
63233	46	haploid
20541	46	haploid
63324	45	haploid
605367	45	haploid
51574	45	haploid
68002	45	haploid
22071	45	haploid
29748	52	haploid
22899	52	haploid
60412	52	haploid
35254	52	haploid
31730	52	haploid
37278	52	haploid
28931	52	haploid
15617	52	haploid
40487	52	haploid
247642	52	haploid
30248	52	haploid
15252	52	haploid
20970	44	haploid
1807	44	haploid
574693	44	haploid
39299	44	haploid
8493	44	haploid
42661	44	haploid
9308	141	haploid
23319	141	haploid
29796	141	haploid
17270	141	haploid
10572	141	haploid
9594	141	haploid
24111	141	haploid
19129	141	haploid
15333	141	haploid
5722	141	haploid
85030	35	haploid
77990	35	haploid
30693	35	haploid
101094	35	haploid
9797	35	haploid
77800	35	haploid
19961	39	haploid
71067	39	haploid
31204	39	haploid
34921	39	haploid
303	55	haploid
17598	55	haploid
1002	55	haploid
12741	55	haploid
7173	55	haploid
48	55	haploid
20771	55	haploid
80131	55	haploid
20129	55	haploid
23113	55	haploid
124052	55	haploid
69630	55	haploid
39254	55	haploid
41624	55	haploid
26669	55	haploid
68782	55	haploid
17024	55	haploid
2853394	55	haploid
