seqnames	BLM	BLM/RECQL5	RECQL5	WT	RECQL1	WRN	WRN/RECQL5	RTEL1	ALL
chr1	491	213	78	113	57	165	33	14	1164
chr10	292	126	51	46	41	67	17	7	647
chr11	293	113	35	50	46	67	36	2	642
chr12	272	123	54	35	30	47	18	8	587
chr13	227	92	38	31	33	75	13	6	515
chr14	208	74	31	35	29	31	23	2	433
chr15	170	35	17	13	74	98	41	4	452
chr16	130	70	19	39	14	28	8	2	310
chr17	209	76	18	33	31	27	17	7	418
chr18	167	73	23	37	20	48	22	3	393
chr19	226	61	23	31	28	30	19	8	426
chr2	516	231	85	72	72	106	56	10	1148
chr20	53	21	8	16	8	10	6	4	126
chr21	64	29	7	15	11	14	8	0	148
chr22	261	138	90	146	73	66	27	12	813
chr3	438	170	75	66	51	79	42	8	929
chr4	432	195	81	80	59	99	39	8	993
chr5	347	154	78	69	58	87	34	12	839
chr6	389	180	74	76	44	87	35	6	891
chr7	169	154	59	72	50	63	13	3	583
chr8	200	32	12	7	77	79	37	0	444
chr9	464	245	157	211	98	115	34	16	1340
chrX	247	141	56	57	37	65	28	5	636
chrY	0	0	0	1	0	0	0	0	2
