seqnames	start	end	width	strand	genoT	Extract.Name	ploidy	library
chr12	99069796	99187685	117890	*	wc-cc	NW1401014-I_04	2	NW1401014-I_04
chr13	88495604	88725466	229863	*	cc-wc	NW1401014-I_04	2	NW1401014-I_04
chr14	66620276	66859266	238991	*	ww-wc	NW1401014-I_04	2	NW1401014-I_04
chr2	237862601	237944765	82165	*	wc-cc	NW1401014-I_04	2	NW1401014-I_04
chr3	60259285	60744579	485295	*	ww-wc	NW1401014-I_04	2	NW1401014-I_04
chr8	6840687	6948826	108140	*	wc-ww	NW1401014-I_04	2	NW1401014-I_04
chr8	12142337	12585232	442896	*	ww-wc	NW1401014-I_04	2	NW1401014-I_04
chr9	88479423	88658479	179057	*	ww-wc	NW1401014-I_04	2	NW1401014-I_04
chrX	2683557	2855613	172057	*	wc-cc	NW1401014-I_04	2	NW1401014-I_04
chr11	77791193	78219039	427847	*	ww-wc	NW1401014-I_09	2	NW1401014-I_09
chr13	72727192	73243105	515914	*	ww-wc	NW1401014-I_09	2	NW1401014-I_09
chr18	12241876	12809026	567151	*	wc-ww	NW1401014-I_09	2	NW1401014-I_09
chr4	15194823	16102087	907265	*	wc-cc	NW1401014-I_09	2	NW1401014-I_09
chr4	122038141	122371301	333161	*	cc-wc	NW1401014-I_09	2	NW1401014-I_09
chr5	145319115	145691307	372193	*	wc-cc	NW1401014-I_09	2	NW1401014-I_09
chr6	82995803	83371918	376116	*	cc-wc	NW1401014-I_09	2	NW1401014-I_09
chr8	6937620	8311592	1373973	*	cc-wc	NW1401014-I_09	2	NW1401014-I_09
chr8	11907763	12756397	848635	*	wc-cc	NW1401014-I_09	2	NW1401014-I_09
chr8	99751908	100152382	400475	*	cc-wc	NW1401014-I_09	2	NW1401014-I_09
chr11	19839039	19990983	151945	*	cc-wc	NW1401014-I_10	2	NW1401014-I_10
chr12	70981687	71135461	153775	*	wc-ww	NW1401014-I_10	2	NW1401014-I_10
chr17	58960714	59070657	109944	*	ww-wc	NW1401014-I_10	2	NW1401014-I_10
chr5	65575382	65876974	301593	*	ww-wc	NW1401014-I_10	2	NW1401014-I_10
chr8	7084227	7484301	400075	*	cc-wc	NW1401014-I_10	2	NW1401014-I_10
chr8	11913150	12421553	508404	*	wc-cc	NW1401014-I_10	2	NW1401014-I_10
chr12	94749057	94923893	174837	*	ww-wc	NW1401014-I_12	2	NW1401014-I_12
chr14	103683534	103886113	202580	*	cc-wc	NW1401014-I_12	2	NW1401014-I_12
chr16	22618152	23049094	430943	*	wc-ww	NW1401014-I_12	2	NW1401014-I_12
chr18	2494168	2885700	391533	*	cc-wc	NW1401014-I_12	2	NW1401014-I_12
chr3	168103437	168424101	320665	*	wc-cc	NW1401014-I_12	2	NW1401014-I_12
chr4	161252063	161403970	151908	*	ww-wc	NW1401014-I_12	2	NW1401014-I_12
chr7	110872210	111294027	421818	*	cc-wc	NW1401014-I_12	2	NW1401014-I_12
chr8	7026734	8347054	1320321	*	wc-cc	NW1401014-I_12	2	NW1401014-I_12
chr8	11946150	12577603	631454	*	cc-wc	NW1401014-I_12	2	NW1401014-I_12
chr8	23943855	24362878	419024	*	wc-cc	NW1401014-I_12	2	NW1401014-I_12
chr8	130935990	131167054	231065	*	cc-wc	NW1401014-I_12	2	NW1401014-I_12
chr9	78194829	78417558	222730	*	wc-ww	NW1401014-I_12	2	NW1401014-I_12
chr10	74703720	75105543	401824	*	wc-cc	NW1401014-I_16	2	NW1401014-I_16
chr11	115103779	115549629	445851	*	cc-wc	NW1401014-I_16	2	NW1401014-I_16
chr3	32317752	32840070	522319	*	wc-ww	NW1401014-I_16	2	NW1401014-I_16
chr3	44476611	44898621	422011	*	ww-wc	NW1401014-I_16	2	NW1401014-I_16
chr3	83166636	84360442	1193807	*	wc-cc	NW1401014-I_16	2	NW1401014-I_16
chr3	96931841	97277130	345290	*	cc-wc	NW1401014-I_16	2	NW1401014-I_16
chr5	120115206	120351343	236138	*	cc-wc	NW1401014-I_16	2	NW1401014-I_16
chr7	130696536	131211734	515199	*	wc-cc	NW1401014-I_16	2	NW1401014-I_16
chr8	7146145	8302704	1156560	*	wc-cc	NW1401014-I_16	2	NW1401014-I_16
chr8	11904423	12776502	872080	*	cc-wc	NW1401014-I_16	2	NW1401014-I_16
chr9	11501075	12092967	591893	*	ww-wc	NW1401014-I_16	2	NW1401014-I_16
chr9	23997594	25048641	1051048	*	wc-ww	NW1401014-I_16	2	NW1401014-I_16
chr13	47408922	47636597	227676	*	wc-ww	NW1401014-I_34	2	NW1401014-I_34
chr18	73822760	74092060	269301	*	ww-wc	NW1401014-I_34	2	NW1401014-I_34
chr2	114837615	115050457	212843	*	cc-wc	NW1401014-I_34	2	NW1401014-I_34
chr3	60343506	60528726	185221	*	wc-ww	NW1401014-I_34	2	NW1401014-I_34
chr4	66626077	66880608	254532	*	wc-cc	NW1401014-I_34	2	NW1401014-I_34
chr4	114154162	114559325	405164	*	cc-wc	NW1401014-I_34	2	NW1401014-I_34
chr5	60363548	60502601	139054	*	wc-cc	NW1401014-I_34	2	NW1401014-I_34
chr6	143291254	143525999	234746	*	wc-cc	NW1401014-I_34	2	NW1401014-I_34
chr7	88730971	89286682	555712	*	wc-cc	NW1401014-I_34	2	NW1401014-I_34
